2.26906	2.69174	1.31378	2.08439	2.61054	1.34426	2.08615	2.44899	1.52978
6.22576	7.36604	3.75202	5.90339	7.44127	3.85364	6.02647	6.8985	4.33816
10.7975	12.8076	6.73025	10.3493	13.4586	6.85728	10.6079	12.4047	7.67258
16.1672	18.9155	10.0258	15.5065	20.0159	10.1239	16.0633	18.5125	11.4404
21.7289	24.9642	13.5484	20.9597	27.0887	13.6514	21.5727	24.4885	15.0618
26.3138	29.8983	16.4459	25.4406	32.8618	16.5325	26.1959	29.4055	18.1704
30.8793	34.6671	19.5863	30.0728	38.9077	19.6634	30.9671	34.4422	21.5592
35.4978	39.366	22.3759	34.5181	44.4301	22.4455	35.6438	39.1218	24.6705
39.7721	43.9154	25.8252	38.8455	50.6987	25.9469	40.0262	43.9509	28.1889
45.215	49.1223	29.4672	44.2433	57.3075	29.4555	45.624	49.3771	31.8802
49.1598	53.3233	32.2119	48.193	63.0836	32.2852	49.6122	53.3406	34.7747
53.7332	57.597	35.5277	52.792	68.5465	35.5444	54.4409	57.7921	38.2557
57.0294	60.9251	37.8876	56.1317	73.1415	37.9644	57.8739	61.4215	40.8937
