7.98514	10.4269	3.96514	9.5622	11.3215	6.15846
13.7782	17.4818	7.25272	16.2488	18.9735	10.7559
20.0177	24.6935	10.8845	22.9802	26.5868	15.0159
25.4894	31.0075	13.8275	28.7497	33.0444	18.9172
30.325	36.2563	17.083	34.1097	38.7574	22.461
36.0832	42.5303	20.5626	39.7244	45.0481	25.8916
40.1843	46.6293	23.0842	44.1011	49.7368	28.6552
43.5487	50.3275	25.1969	47.7223	53.6691	30.9746
48.3439	55.3982	28.3997	52.5047	58.7845	34.1921
51.7002	58.9535	30.8604	56.3186	62.9265	36.5821
54.56	61.8555	32.7888	59.1812	65.8696	38.7271
56.9323	64.2504	34.5136	61.6173	68.4231	40.6968
59.3584	66.8534	36.5081	64.0582	71.1261	42.5119
61.2945	68.6891	38.1925	66.298	73.3994	44.3548
62.9862	70.5945	39.4565	68.1707	75.5888	45.8033
64.3192	71.8777	40.9235	69.4305	77.1048	47.1307
