8.14555	10.9776	4.03249	9.87007	11.9351	6.37043
13.9104	18.0208	7.36185	16.4938	19.5101	10.8498
19.9657	24.7923	10.8099	23.1463	26.5653	15.3317
26.2124	31.932	14.314	29.6445	33.9601	19.3912
31.2085	37.2185	17.3872	35.1273	39.7355	22.9038
36.089	42.0715	20.1568	39.9857	45.0336	25.88
40.267	46.7745	23.1228	44.2445	49.9185	28.882
44.5978	51.5564	25.8197	48.58	54.7465	31.5711
48.6309	55.4052	28.5813	53.0456	59.214	34.4597
51.7662	58.9349	30.6166	56.2688	62.7019	36.4467
54.9956	62.6009	33.0996	59.4189	66.4943	38.9039
57.8321	65.0772	35.1368	62.483	69.4482	40.9951
59.7895	67.2051	36.726	64.6945	71.8161	42.6917
62.1399	69.4124	38.6641	67.0084	74.4503	44.7501
