
0	0	0
0	0	0
0	1	0
0	1	0
0	0	0
0	0	0
0	1	0
1	1	0
0	1	0
0	1	0
1	1	0
1	1	1
1	1	0
1	2	1
1	1	0
1	1	1
2	3	1
2	3	1
2	3	1
2	3	2
3	4	1
3	4	2
3	4	1
4	5	3
4	5	2
4	5	3
4	7	2
5	6	3
6	8	3
7	9	5
7	9	3
8	9	5
8	11	4
9	10	6
8	11	4
10	12	6
10	13	5
12	14	8
10	14	5
12	15	8
11	15	5
13	16	8
11	16	5
15	18	10
16	23	7
20	25	13
15	22	7
19	25	12
18	23	8
23	27	14
18	24	8
23	26	13


1	1	0
1	1	1
1	1	0
1	1	1
1	1	0
1	1	1
2	2	1
2	3	1
2	2	1
2	2	1
2	3	1
3	3	2
3	4	2
3	4	2
4	4	2
4	5	3
5	6	3
5	7	4
5	6	3
5	7	4
6	8	3
7	8	5
8	10	4
8	10	6
8	11	5
9	12	7
10	13	5
11	13	7
11	14	5
12	15	8
12	15	6
13	16	9
12	16	7
14	16	9
14	18	8
17	20	12
17	21	9
21	23	13
16	21	8
19	22	12
21	28	11
25	30	16
22	31	11
27	34	17
24	32	12
30	37	19
28	39	14
35	42	22
27	32	13
33	37	21
26	34	13
31	38	21


1	1	1
2	2	1
2	2	1
2	2	1
2	3	1
3	3	2
3	4	2
4	4	2
4	5	2
4	5	3
4	6	3
5	6	3
5	7	3
6	7	4
7	8	3
8	9	5
9	11	5
10	12	7
8	10	5
9	11	6
9	11	5
11	13	7
11	14	6
13	15	9
12	15	6
13	15	9
15	18	8
16	19	11
16	19	9
17	20	12
18	22	10
20	23	14
19	23	11
21	25	14
23	29	13
26	30	17
24	30	12
29	33	19
28	34	15
31	35	20
29	36	15
35	40	23
32	42	18
39	44	25
33	42	17
38	46	25
36	43	17
43	46	27
35	44	19
43	49	27
39	49	19
45	52	29


2	3	1
3	3	2
3	4	2
4	4	3
4	5	2
5	5	3
5	6	3
5	6	4
6	7	3
6	7	4
6	8	4
7	8	5
8	9	4
8	10	6
8	10	5
9	11	6
10	11	6
11	13	7
13	15	7
14	16	9
12	14	7
14	16	9
16	19	9
17	19	11
18	22	10
21	24	14
19	23	11
21	24	14
