
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	0
0	1	0
1	1	0
0	1	0
1	1	0
1	1	0
1	1	0
1	1	0
1	1	1
1	1	0
1	2	1
2	2	1
2	3	1
2	2	1
2	2	1
2	3	1
3	4	2
3	4	1
4	4	2
4	5	2
5	5	3
5	6	2
5	6	3
6	8	3
6	8	4
6	9	3
7	9	5
7	10	4
8	10	6
8	10	4
9	10	6
9	12	4
10	12	7
13	17	6
15	17	9
12	16	6
15	17	9
11	15	6
13	15	9
14	19	7
19	22	12
15	19	7
19	23	12
18	24	8
21	27	12
16	21	7
21	24	13


1	2	1
1	2	1
1	2	1
1	2	1
2	3	1
2	3	2
2	2	1
2	3	1
2	3	1
2	3	2
2	3	1
3	4	2
3	4	1
4	4	2
3	4	2
4	4	3
4	6	2
5	6	4
5	6	3
6	6	4
5	7	3
6	7	4
7	9	4
8	9	5
9	11	4
11	12	7
9	11	5
10	12	7
10	12	5
11	13	8
12	15	6
13	15	9
13	16	6
14	17	9
15	19	8
16	20	11
16	21	8
19	22	12
19	24	9
22	26	15
19	23	10
23	25	14
23	30	11
28	33	17
24	31	12
30	34	19
24	31	12
30	36	20
26	33	13
31	37	20
29	37	14
34	40	23


2	2	1
2	3	2
2	3	1
2	3	1
2	2	1
2	3	1
3	4	2
3	4	2
4	5	2
4	5	2
3	4	2
4	4	3
5	7	3
6	7	4
7	8	4
8	9	5
8	9	4
8	10	6
9	11	5
10	12	6
10	12	5
11	13	7
10	13	6
11	14	8
13	15	7
14	16	10
15	18	8
16	18	11
15	18	8
16	19	11
17	21	9
19	22	13
19	23	10
21	24	14
23	30	12
26	31	17
26	32	13
30	34	18
29	35	14
34	38	21
31	38	15
36	42	23
32	40	17
38	44	24
31	40	17
36	43	24
36	45	19
43	50	28
34	43	18
39	45	26
39	48	21
46	53	28


2	2	1
2	3	2
3	4	2
3	4	2
4	5	3
4	5	3
4	5	2
5	5	3
5	6	3
6	7	4
6	7	4
7	8	5
7	9	4
8	9	6
10	12	6
11	13	7
11	12	6
12	13	8
11	14	6
13	15	8
14	16	8
15	17	10
14	17	8
16	18	11
17	20	10
18	21	12
18	21	10
19	23	13
