
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	1	1
0	0	0
0	0	0
1	1	1
1	1	1
1	2	1
1	2	1
4	4	2
5	5	3
3	3	3
4	4	3
0	1	0
0	0	0
5	5	1
5	4	3
4	1	0
5	4	2
0	0	0
1	1	1
5	5	1
6	7	3
6	6	2
6	6	2
3	5	2
4	4	4
2	3	2
1	2	1
14	18	11
14	20	11
4	3	3
2	2	2
10	17	8
12	15	10
4	6	3
6	6	4
7	17	5
10	18	7
20	35	6
28	33	17
12	13	7
12	10	7
24	40	17
34	43	27
11	21	8
12	17	9
8	10	5
6	9	5


2	1	1
2	3	1
1	0	0
1	0	0
2	3	1
2	3	1
0	0	0
0	1	0
2	3	1
2	2	2
1	2	1
1	2	1
2	1	0
2	2	1
1	1	1
1	1	1
11	13	9
11	12	10
7	11	3
7	10	5
9	9	2
10	10	6
11	11	5
12	10	9
8	7	2
7	6	4
2	2	1
4	7	4
4	7	3
6	7	4
15	19	9
13	16	9
26	30	16
25	30	15
6	7	5
7	8	6
15	15	9
18	18	12
14	15	11
19	24	14
22	24	11
29	32	15
15	28	7
21	24	18
25	35	14
36	40	25
18	27	8
28	28	17
25	25	16
26	31	21
11	15	5
17	17	13


1	0	0
1	0	0
5	3	2
5	3	3
3	3	3
4	3	3
1	2	1
1	2	1
4	6	3
4	5	3
9	14	7
8	12	7
3	4	2
2	3	2
5	7	3
6	7	3
12	15	6
14	18	10
6	9	5
7	8	5
10	13	7
11	13	8
5	4	2
6	6	4
10	11	6
9	14	5
7	7	4
8	7	7
20	24	11
24	25	15
14	23	10
16	25	12
20	21	8
26	25	19
40	54	18
43	61	27
16	17	5
22	21	18
10	13	6
18	21	15
39	46	24
39	45	24
39	47	22
45	44	29
38	34	21
44	41	26
20	19	8
27	34	26
50	68	23
60	77	33
83	88	24
74	71	29


1	2	0
2	2	1
1	1	0
1	1	0
3	3	2
4	4	3
13	13	7
16	18	10
12	13	7
13	12	7
25	25	13
26	25	15
9	10	5
10	9	8
7	13	6
7	14	6
20	24	12
22	27	18
16	16	9
17	21	10
23	28	13
27	28	16
15	20	13
17	20	13
15	20	10
19	19	11
17	17	11
16	24	10
22	33	15
29	34	21
11	14	7
20	22	14
17	23	11
19	24	14
11	14	7
14	15	11
39	58	15
53	63	33
36	54	20
42	49	30
35	41	16
38	49	23
52	60	23
75	94	45
48	55	28
53	53	38
45	52	26
55	58	38
50	69	31
53	65	37
34	36	22
38	43	28


2	2	0
1	2	0
8	8	5
9	11	5
2	2	2
2	2	2
5	5	3
6	6	4
1	2	0
1	1	1
9	12	7
11	11	9
5	6	4
6	8	5
5	6	4
5	5	4
21	20	14
22	18	16
16	19	10
17	22	12
19	23	12
19	22	13
13	13	7
16	16	12
17	18	11
18	19	14
13	15	10
15	18	11
31	31	11
38	33	17
36	47	17
45	51	30
29	34	14
28	33	18
41	48	25
39	44	26
44	53	25
45	55	29
41	49	25
43	50	31
32	38	22
35	35	26
50	61	32
52	57	38
74	88	45
72	79	44
64	87	36
67	82	39
71	72	24
68	71	33
46	51	24
43	46	31

