4.68987	5.31421	2.56504	4.50815	5.56827	2.68181	4.55921	5.10853	3.0386
11.9315	13.3536	6.24761	11.4706	13.951	6.55181	11.8131	12.9555	7.65019
19.3627	21.793	10.7561	18.6932	23.4592	11.0522	19.2494	21.3887	12.4726
27.409	29.8869	15.3582	26.4958	33.0008	15.6221	27.3103	29.4844	17.5765
35.9698	38.9273	20.2137	34.9713	43.41	20.5108	35.9335	38.6709	22.7718
42.7165	45.6993	24.1251	41.5896	51.595	24.5013	42.6845	45.2882	27.0517
49.8817	52.8901	28.2997	48.8216	60.8616	28.7016	50.0625	52.7204	31.4913
54.4581	57.7931	31.8739	53.238	66.9516	32.2256	54.5633	57.6256	35.1485
59.5617	62.9474	36.0348	58.4031	73.8628	36.2941	60.0305	63.2142	39.4686
66.1226	69.3353	40.4176	64.9458	82.2612	40.5874	66.6543	69.4487	43.8262
70.2866	73.0937	43.1266	69.0484	87.2806	43.2821	70.7397	73.3763	46.3942
73.1509	76.0257	46.1946	71.9192	91.6058	46.2942	73.6826	76.2751	49.638
79.0719	81.496	50.544	77.8375	98.7314	50.608	79.7735	82.0226	54.0641
